Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,167.449997,167.929993,159.220001,160.320007,160.320007,22634200
2022-09-06,160.100006,161.690002,157.690002,158.539993,158.539993,19339800
2022-09-07,157.759995,160.960007,156.809998,160.389999,160.389999,16831200
2022-09-08,158.710007,162.229996,157.740005,162.059998,162.059998,22530800
2022-09-09,163.250000,169.539993,163.020004,169.149994,169.149994,22086800
2022-09-12,167.389999,171.389999,167.279999,168.960007,168.960007,23220400
2022-09-13,161.539993,161.630005,152.669998,153.130005,153.130005,44444100
2022-09-14,153.330002,153.539993,149.050003,151.470001,151.470001,43064200
2022-09-15,149.800003,154.199997,148.699997,149.550003,149.550003,34606300
2022-09-16,148.050003,148.580002,144.289993,146.289993,146.289993,40122800
2022-09-19,145.240005,148.580002,145.100006,148.020004,148.020004,22169500
2022-09-20,145.779999,148.839996,145.220001,146.089996,146.089996,23217400
2022-09-21,146.389999,149.600006,142.000000,142.119995,142.119995,38338600
2022-09-22,141.550003,144.580002,140.869995,142.820007,142.820007,34418500
2022-09-23,141.419998,142.619995,138.889999,140.410004,140.410004,31710700
2022-09-26,140.119995,142.240005,136.190002,136.369995,136.369995,30497000
2022-09-27,137.919998,139.419998,134.119995,134.399994,134.399994,30826500
2022-09-28,134.619995,142.029999,134.270004,141.610001,141.610001,32658500
2022-09-29,139.360001,139.839996,135.199997,136.410004,136.410004,38985400
2022-09-30,136.050003,140.990005,135.500000,135.679993,135.679993,33166400
2022-10-03,137.139999,139.619995,136.100006,138.610001,138.610001,27723100
2022-10-04,140.490005,142.389999,139.339996,140.279999,140.279999,34670700
2022-10-05,138.240005,140.210007,134.779999,138.979996,138.979996,27979300
2022-10-06,137.720001,141.449997,136.600006,139.070007,139.070007,36231100
2022-10-07,136.759995,138.289993,132.440002,133.449997,133.449997,33214800
2022-10-10,133.550003,136.110001,131.869995,133.789993,133.789993,24024000
2022-10-11,131.619995,132.660004,126.989998,128.539993,128.539993,38481400
2022-10-12,128.320007,129.669998,126.250000,127.500000,127.500000,34605200
2022-10-13,123.529999,131.139999,122.529999,130.289993,130.289993,34325700
2022-10-14,131.000000,131.789993,126.519997,126.760002,126.760002,23559400
2022-10-17,130.300003,134.789993,130.179993,134.039993,134.039993,29612200
2022-10-18,137.089996,137.839996,131.399994,132.800003,132.800003,25445000
2022-10-19,132.889999,137.000000,132.220001,133.229996,133.229996,30691000
2022-10-20,132.929993,136.770004,131.309998,131.529999,131.529999,26356300
2022-10-21,126.309998,130.119995,125.440002,130.009995,130.009995,46348600
2022-10-24,127.250000,133.479996,124.570000,129.720001,129.720001,63563400
2022-10-25,130.880005,138.350006,130.589996,137.509995,137.509995,38433200
2022-10-26,131.679993,135.550003,128.529999,129.820007,129.820007,82791500
2022-10-27,97.980003,102.500000,96.379997,97.940002,97.940002,232316600
2022-10-28,99.580002,100.849998,97.510002,99.199997,99.199997,95928300
2022-10-31,98.220001,99.320000,92.599998,93.160004,93.160004,121361400
2022-11-01,94.330002,97.489998,93.550003,95.199997,95.199997,110189600
2022-11-02,94.209999,95.199997,90.480003,90.540001,90.540001,71821100
2022-11-03,90.080002,90.459999,88.410004,88.910004,88.910004,60664000
2022-11-04,90.349998,91.389999,88.089996,90.790001,90.790001,55638100
2022-11-07,94.779999,96.879997,93.099998,96.720001,96.720001,81987300
2022-11-08,95.919998,97.800003,94.790001,96.470001,96.470001,52088300
2022-11-09,101.720001,104.900002,100.739998,101.470001,101.470001,107677300
2022-11-10,107.120003,112.750000,104.610001,111.870003,111.870003,80671000
2022-11-11,109.230003,114.900002,108.809998,113.019997,113.019997,59961700
2022-11-14,110.989998,116.269997,110.800003,114.220001,114.220001,53395000
2022-11-15,116.070000,118.739998,114.410004,117.080002,117.080002,50670500
2022-11-16,114.500000,116.080002,112.660004,113.230003,113.230003,33287800
2022-11-17,110.410004,112.330002,109.800003,111.449997,111.449997,35093800
2022-11-18,113.800003,114.320000,110.620003,112.050003,112.050003,33357700
2022-11-21,111.519997,112.370003,109.190002,109.860001,109.860001,24351100
2022-11-22,109.860001,111.620003,108.320000,111.440002,111.440002,29029000
2022-11-23,111.720001,112.669998,110.730003,112.239998,112.239998,21343100
2022-11-25,111.300003,112.730003,111.019997,111.410004,111.410004,12007600
2022-11-28,110.779999,112.040001,108.379997,108.779999,108.779999,23309400
2022-11-29,109.540001,110.940002,108.540001,109.459999,109.459999,23899200
2022-11-30,109.510002,118.160004,109.379997,118.099998,118.099998,43348600
2022-12-01,119.199997,121.199997,118.400002,120.440002,120.440002,36551400
2022-12-02,117.830002,124.040001,117.610001,123.489998,123.489998,39950500
2022-12-05,121.750000,124.669998,121.349998,122.430000,122.430000,35474900
2022-12-06,119.910004,120.550003,113.739998,114.120003,114.120003,43689200
2022-12-07,113.760002,115.879997,112.879997,113.930000,113.930000,29461100
2022-12-08,116.389999,117.339996,114.589996,115.330002,115.330002,30619400
2022-12-09,115.300003,117.540001,113.870003,115.900002,115.900002,26033400
2022-12-12,115.180000,115.720001,113.139999,114.709999,114.709999,24747100
2022-12-13,122.129997,123.300003,118.639999,120.150002,120.150002,44701100
2022-12-14,119.389999,124.139999,119.389999,121.589996,121.589996,36922000
2022-12-15,118.330002,118.629997,114.010002,116.150002,116.150002,34531000
2022-12-16,120.230003,123.309998,118.820000,119.430000,119.430000,67064000
2022-12-19,116.830002,117.800003,114.330002,114.480003,114.480003,29769900
2022-12-20,113.260002,117.330002,112.459999,117.089996,117.089996,28742500
2022-12-21,116.699997,120.339996,115.620003,119.760002,119.760002,20392800
2022-12-22,117.199997,118.620003,114.379997,117.120003,117.120003,23618100
2022-12-23,116.029999,118.180000,115.540001,118.040001,118.040001,17796600
2022-12-27,117.930000,118.599998,116.050003,116.879997,116.879997,21392300
2022-12-28,116.250000,118.150002,115.510002,115.620003,115.620003,19612500
2022-12-29,116.400002,121.029999,115.769997,120.260002,120.260002,22366200
2022-12-30,118.160004,120.419998,117.739998,120.339996,120.339996,19583800
2023-01-03,122.820000,126.370003,122.279999,124.739998,124.739998,35528500
2023-01-04,127.379997,129.050003,125.849998,127.370003,127.370003,32397100
2023-01-05,126.129997,128.520004,124.540001,126.940002,126.940002,25447100
2023-01-06,128.970001,130.330002,126.040001,130.020004,130.020004,27584500
2023-01-09,131.160004,132.949997,129.279999,129.470001,129.470001,26649100
2023-01-10,127.269997,133.440002,127.150002,132.990005,132.990005,28684400
2023-01-11,130.960007,133.850006,130.339996,132.889999,132.889999,25423000
2023-01-12,133.440002,137.679993,131.759995,136.710007,136.710007,30757700
2023-01-13,134.970001,137.389999,134.839996,136.979996,136.979996,22423800
2023-01-17,136.179993,136.750000,134.250000,135.360001,135.360001,21147600
2023-01-18,135.809998,137.250000,132.800003,133.020004,133.020004,20215500
2023-01-19,132.490005,137.449997,132.139999,136.149994,136.149994,28625200
2023-01-20,135.889999,139.940002,134.610001,139.369995,139.369995,28688600
2023-01-23,139.289993,143.759995,138.660004,143.270004,143.270004,27470100
2023-01-24,141.690002,145.000000,141.360001,143.139999,143.139999,21970200
2023-01-25,141.220001,143.169998,140.309998,141.500000,141.500000,26622000
2023-01-26,144.399994,147.509995,143.300003,147.300003,147.300003,25482100
2023-01-27,148.240005,153.190002,147.389999,151.740005,151.740005,35771900
2023-01-30,149.410004,151.119995,146.949997,147.059998,147.059998,28040100
2023-01-31,147.949997,149.880005,147.520004,148.970001,148.970001,29842100
2023-02-01,148.029999,153.580002,147.059998,153.119995,153.119995,55661000
2023-02-02,183.380005,197.160004,180.160004,188.770004,188.770004,150475700
2023-02-03,183.470001,196.770004,182.889999,186.529999,186.529999,76809700
2023-02-06,186.529999,190.699997,185.520004,186.059998,186.059998,42483800
2023-02-07,185.580002,193.779999,184.399994,191.619995,191.619995,47080700
2023-02-08,190.000000,190.830002,182.919998,183.429993,183.429993,36139100
2023-02-09,186.130005,186.649994,177.270004,177.919998,177.919998,37118800
2023-02-10,176.350006,178.889999,173.350006,174.149994,174.149994,33433600
2023-02-13,178.220001,181.000000,175.820007,179.429993,179.429993,31463200
2023-02-14,177.160004,181.509995,175.880005,179.479996,179.479996,24034600
2023-02-15,176.419998,178.190002,175.330002,177.160004,177.160004,25308900
2023-02-16,172.750000,175.850006,171.789993,172.440002,172.440002,25827500
2023-02-17,170.220001,173.179993,169.699997,172.880005,172.880005,24171300
2023-02-21,174.309998,178.169998,171.880005,172.080002,172.080002,34592600
2023-02-22,171.070007,172.759995,169.690002,171.119995,171.119995,22433200
2023-02-23,172.000000,173.690002,169.380005,172.039993,172.039993,20017800
2023-02-24,168.639999,170.720001,167.660004,170.389999,170.389999,19791300
2023-02-27,171.880005,173.119995,169.059998,169.539993,169.539993,19277000
2023-02-28,171.899994,177.550003,171.869995,174.940002,174.940002,46051100
2023-03-01,174.589996,177.850006,173.050003,173.419998,173.419998,30998400
2023-03-02,172.380005,175.009995,171.429993,174.529999,174.529999,17352000
2023-03-03,178.919998,186.619995,177.050003,185.250000,185.250000,45877700
2023-03-06,188.000000,189.660004,184.639999,184.899994,184.899994,33209400
2023-03-07,189.000000,190.360001,184.009995,184.509995,184.509995,36701500
2023-03-08,182.869995,185.259995,181.339996,184.970001,184.970001,19432400
2023-03-09,186.350006,188.929993,180.300003,181.690002,181.690002,26582800
2023-03-10,181.009995,184.770004,178.800003,179.509995,179.509995,25665000
2023-03-13,177.960007,183.779999,174.820007,180.899994,180.899994,24728000
2023-03-14,187.580002,194.320007,186.559998,194.020004,194.020004,41642600
2023-03-15,192.949997,197.779999,190.839996,197.750000,197.750000,42123600
2023-03-16,198.259995,205.759995,196.089996,204.929993,204.929993,50447100
2023-03-17,200.559998,201.899994,195.429993,195.610001,195.610001,50141100
2023-03-20,198.479996,199.360001,193.639999,197.809998,197.809998,25186300
2023-03-21,203.199997,203.550003,197.949997,202.160004,202.160004,31827000
2023-03-22,202.500000,207.369995,199.669998,199.809998,199.809998,28477800
2023-03-23,202.839996,207.880005,202.149994,204.279999,204.279999,27389700
2023-03-24,205.179993,207.580002,203.550003,206.009995,206.009995,27716400
2023-03-27,204.809998,205.860001,201.360001,202.839996,202.839996,18527200
2023-03-28,200.149994,201.029999,197.899994,200.679993,200.679993,19127300
2023-03-29,203.559998,205.720001,202.539993,205.350006,205.350006,18851100
2023-03-30,203.380005,208.089996,202.820007,207.839996,207.839996,22608300
2023-03-31,207.240005,212.169998,206.770004,211.940002,211.940002,25440300
2023-04-03,208.839996,213.490005,208.199997,213.070007,213.070007,17924600
2023-04-04,213.389999,216.240005,212.539993,214.720001,214.720001,21026400
2023-04-05,214.149994,215.190002,209.940002,211.479996,211.479996,19396600
2023-04-06,209.250000,216.940002,208.649994,216.100006,216.100006,26104400
2023-04-10,214.710007,215.660004,210.660004,214.750000,214.750000,16106100
2023-04-11,215.479996,216.020004,213.410004,213.850006,213.850006,16710100
2023-04-12,214.839996,216.839996,212.580002,214.000000,214.000000,18972200
2023-04-13,215.729996,221.149994,215.690002,220.350006,220.350006,23310400
2023-04-14,217.880005,222.110001,217.550003,221.490005,221.490005,21591200
2023-04-17,219.789993,220.979996,217.130005,218.860001,218.860001,15481900
2023-04-18,219.910004,220.440002,216.210007,217.889999,217.889999,12281000
2023-04-19,213.470001,217.330002,212.929993,215.699997,215.699997,15898100
2023-04-20,213.479996,216.750000,212.770004,213.070007,213.070007,16475400
2023-04-21,210.210007,213.410004,209.580002,212.889999,212.889999,17717200
2023-04-24,213.679993,213.919998,210.710007,212.789993,212.789993,15750900
2023-04-25,210.820007,211.259995,207.130005,207.550003,207.550003,19198200
2023-04-26,212.500000,214.110001,208.880005,209.399994,209.399994,41992700
2023-04-27,239.889999,241.690002,236.770004,238.559998,238.559998,71196500
2023-04-28,239.009995,240.429993,235.750000,240.320007,240.320007,39554000
2023-05-01,238.619995,244.000000,236.460007,243.179993,243.179993,29143900
2023-05-02,243.179993,244.919998,238.990005,239.240005,239.240005,24350100
2023-05-03,239.470001,241.750000,232.750000,237.029999,237.029999,34463900
2023-05-04,236.059998,238.199997,232.929993,233.520004,233.520004,17889400
2023-05-05,232.240005,234.679993,229.850006,232.779999,232.779999,26978900
2023-05-08,231.419998,235.619995,230.270004,233.270004,233.270004,16400500
2023-05-09,231.460007,235.880005,231.080002,233.369995,233.369995,16865600
2023-05-10,236.169998,236.750000,230.720001,233.080002,233.080002,19119000
2023-05-11,233.050003,238.210007,232.300003,235.789993,235.789993,20449000
